query,trial,cpu_time_ms
doctors_per_dept,0,2.0534080000000343
doctors_per_dept,1,0.7398399999999916
doctors_per_dept,2,0.5519999999999969
doctors_per_dept,3,0.7344639999999902
doctors_per_dept,4,0.9965760000000268
doctors_per_dept,5,0.8905600000000402
doctors_per_dept,6,0.7859839999999618
doctors_per_dept,7,0.808512000000039
doctors_per_dept,8,0.8211839999999748
doctors_per_dept,9,1.255647999999998
doctors_per_dept,10,0.9087680000000042
doctors_per_dept,11,0.8098559999999977
doctors_per_dept,12,1.025247999999923
doctors_per_dept,13,0.8848000000000189
doctors_per_dept,14,0.9179200000000165
doctors_per_dept,15,0.9135679999999757
doctors_per_dept,16,0.6976639999999867
doctors_per_dept,17,0.6216640000000218
doctors_per_dept,18,0.6024000000000029
doctors_per_dept,19,0.9340160000000375
doctors_per_dept,20,0.7504639999999507
doctors_per_dept,21,0.5307199999999845
doctors_per_dept,22,0.4513279999999731
doctors_per_dept,23,0.45936000000007526
doctors_per_dept,24,0.4967679999999808
doctors_per_dept,25,0.479008000000003
doctors_per_dept,26,0.6239359999999916
doctors_per_dept,27,0.9324800000000133
doctors_per_dept,28,0.8031679999999652
doctors_per_dept,29,0.754624000000037
doctors_per_dept,30,0.6696640000000142
doctors_per_dept,31,0.8672000000000124
doctors_per_dept,32,1.517535999999986
doctors_per_dept,33,0.7917760000000218
doctors_per_dept,34,0.7721280000000386
doctors_per_dept,35,0.7841919999999614
doctors_per_dept,36,0.7630719999999758
doctors_per_dept,37,0.8490879999999978
doctors_per_dept,38,0.7311680000000043
doctors_per_dept,39,0.8766079999999454
doctors_per_dept,40,0.7539839999999298
doctors_per_dept,41,0.9013440000000261
doctors_per_dept,42,0.7034559999999912
doctors_per_dept,43,0.7948800000000533
doctors_per_dept,44,0.8130559999999787
doctors_per_dept,45,0.8740799999999438
doctors_per_dept,46,0.8472959999999419
doctors_per_dept,47,0.5397120000000255
doctors_per_dept,48,0.8775360000000121
doctors_per_dept,49,0.6791359999999691
