query,trial,cpu_time_ms
patients_by_gender,0,7.15445599999999
patients_by_gender,1,2.1482159999999944
patients_by_gender,2,2.2078720000000134
patients_by_gender,3,1.9913280000000144
patients_by_gender,4,1.7644960000000043
patients_by_gender,5,1.809424000000004
patients_by_gender,6,2.049072000000013
patients_by_gender,7,1.9550960000000173
patients_by_gender,8,2.05620799999999
patients_by_gender,9,1.7301999999999873
patients_by_gender,10,1.8615359999999832
patients_by_gender,11,1.697840000000006
patients_by_gender,12,1.9708239999999821
patients_by_gender,13,1.584167999999997
patients_by_gender,14,1.852656000000008
patients_by_gender,15,1.8134159999999566
patients_by_gender,16,1.6126959999999968
patients_by_gender,17,1.8368799999999852
patients_by_gender,18,1.8947839999999827
patients_by_gender,19,1.5589439999999788
patients_by_gender,20,1.7329279999999947
patients_by_gender,21,1.9431679999999951
patients_by_gender,22,2.0263360000000175
patients_by_gender,23,2.079951999999996
patients_by_gender,24,1.4363359999999825
patients_by_gender,25,2.068016000000006
patients_by_gender,26,1.912032000000008
patients_by_gender,27,1.7435360000000177
patients_by_gender,28,1.5877920000000045
patients_by_gender,29,1.4707840000000028
patients_by_gender,30,1.641151999999979
patients_by_gender,31,1.6802560000000188
patients_by_gender,32,1.7597439999999798
patients_by_gender,33,1.6672000000000076
patients_by_gender,34,1.7241920000000133
patients_by_gender,35,1.9193919999999642
patients_by_gender,36,2.068367999999987
patients_by_gender,37,1.9132000000000038
patients_by_gender,38,1.6306559999999803
patients_by_gender,39,1.5315520000000193
patients_by_gender,40,1.8099200000000204
patients_by_gender,41,1.9457439999999993
patients_by_gender,42,1.7588800000000182
patients_by_gender,43,1.991088000000002
patients_by_gender,44,1.8255520000000358
patients_by_gender,45,1.8132960000000198
patients_by_gender,46,1.7737760000000047
patients_by_gender,47,1.7156960000000165
patients_by_gender,48,1.5448320000000237
patients_by_gender,49,2.0671200000000054
patients_by_gender,50,1.7840159999999994
patients_by_gender,51,1.5650239999999982
patients_by_gender,52,1.594192000000022
patients_by_gender,53,1.3342880000000168
patients_by_gender,54,1.5975360000000105
patients_by_gender,55,1.6125759999999767
patients_by_gender,56,1.6664640000000064
patients_by_gender,57,1.9489280000000164
patients_by_gender,58,1.9089919999999982
patients_by_gender,59,1.9455040000000146
patients_by_gender,60,1.7550399999999855
patients_by_gender,61,1.4784640000000127
patients_by_gender,62,1.9401920000000072
patients_by_gender,63,1.6299360000000263
patients_by_gender,64,1.843823999999994
patients_by_gender,65,1.814335999999972
patients_by_gender,66,1.707808000000005
patients_by_gender,67,1.715359999999999
patients_by_gender,68,2.130159999999992
patients_by_gender,69,1.6936320000000005
patients_by_gender,70,1.6483360000000002
patients_by_gender,71,2.1100480000000035
patients_by_gender,72,1.8529599999999868
patients_by_gender,73,1.7159999999999953
patients_by_gender,74,1.7834879999999997
patients_by_gender,75,1.7300000000000093
patients_by_gender,76,1.7629439999999885
patients_by_gender,77,1.6645440000000178
patients_by_gender,78,1.6347999999999918
patients_by_gender,79,1.3929599999999986
