query,trial,elapsed_ms
patients_by_gender,0,2.3539066314697266
patients_by_gender,1,0.44608116149902344
patients_by_gender,2,0.4329681396484375
patients_by_gender,3,0.3941059112548828
patients_by_gender,4,0.3571510314941406
patients_by_gender,5,0.33211708068847656
patients_by_gender,6,0.42700767517089844
patients_by_gender,7,0.3800392150878906
patients_by_gender,8,0.3829002380371094
patients_by_gender,9,0.3349781036376953
patients_by_gender,10,0.370025634765625
patients_by_gender,11,0.31304359436035156
patients_by_gender,12,0.3628730773925781
patients_by_gender,13,0.3120899200439453
patients_by_gender,14,0.36406517028808594
patients_by_gender,15,0.3399848937988281
patients_by_gender,16,0.3139972686767578
patients_by_gender,17,0.3857612609863281
patients_by_gender,18,0.3998279571533203
patients_by_gender,19,0.3211498260498047
patients_by_gender,20,0.3173351287841797
patients_by_gender,21,0.3528594970703125
patients_by_gender,22,0.392913818359375
patients_by_gender,23,0.3800392150878906
patients_by_gender,24,0.3199577331542969
patients_by_gender,25,0.39696693420410156
patients_by_gender,26,0.3750324249267578
patients_by_gender,27,0.33593177795410156
patients_by_gender,28,0.30493736267089844
patients_by_gender,29,0.3120899200439453
patients_by_gender,30,0.3020763397216797
patients_by_gender,31,0.32401084899902344
patients_by_gender,32,0.3342628479003906
patients_by_gender,33,0.34308433532714844
patients_by_gender,34,0.3180503845214844
patients_by_gender,35,0.3421306610107422
patients_by_gender,36,0.4329681396484375
patients_by_gender,37,0.4100799560546875
patients_by_gender,38,0.3590583801269531
patients_by_gender,39,0.30612945556640625
patients_by_gender,40,0.3619194030761719
patients_by_gender,41,0.34809112548828125
patients_by_gender,42,0.3807544708251953
patients_by_gender,43,0.37407875061035156
patients_by_gender,44,0.35309791564941406
patients_by_gender,45,0.3859996795654297
patients_by_gender,46,0.3380775451660156
patients_by_gender,47,0.3368854522705078
patients_by_gender,48,0.2999305725097656
patients_by_gender,49,0.3819465637207031
patients_by_gender,50,0.3829002380371094
patients_by_gender,51,0.2999305725097656
patients_by_gender,52,0.324249267578125
patients_by_gender,53,0.3190040588378906
patients_by_gender,54,0.3199577331542969
patients_by_gender,55,0.31304359436035156
patients_by_gender,56,0.3230571746826172
patients_by_gender,57,0.3490447998046875
patients_by_gender,58,0.3757476806640625
patients_by_gender,59,0.3421306610107422
patients_by_gender,60,0.3459453582763672
patients_by_gender,61,0.29397010803222656
patients_by_gender,62,0.3600120544433594
patients_by_gender,63,0.3142356872558594
patients_by_gender,64,0.354766845703125
patients_by_gender,65,0.3609657287597656
patients_by_gender,66,0.3261566162109375
patients_by_gender,67,0.3018379211425781
patients_by_gender,68,0.3960132598876953
patients_by_gender,69,0.3628730773925781
patients_by_gender,70,0.3180503845214844
patients_by_gender,71,0.3981590270996094
patients_by_gender,72,0.347137451171875
patients_by_gender,73,0.3211498260498047
patients_by_gender,74,0.35309791564941406
patients_by_gender,75,0.3261566162109375
patients_by_gender,76,0.3490447998046875
patients_by_gender,77,0.3151893615722656
patients_by_gender,78,0.3170967102050781
patients_by_gender,79,0.2868175506591797
patients_by_gender,80,0.36406517028808594
patients_by_gender,81,0.31185150146484375
patients_by_gender,82,0.3790855407714844
patients_by_gender,83,0.34618377685546875
patients_by_gender,84,0.3190040588378906
patients_by_gender,85,0.34308433532714844
patients_by_gender,86,0.3399848937988281
patients_by_gender,87,0.3941059112548828
patients_by_gender,88,0.4489421844482422
patients_by_gender,89,0.43129920959472656
patients_by_gender,90,0.4589557647705078
patients_by_gender,91,0.39315223693847656
patients_by_gender,92,0.4379749298095703
patients_by_gender,93,0.45800209045410156
patients_by_gender,94,0.3800392150878906
patients_by_gender,95,0.3809928894042969
patients_by_gender,96,0.3399848937988281
patients_by_gender,97,0.3349781036376953
patients_by_gender,98,0.3330707550048828
patients_by_gender,99,0.3228187561035156
surgeries_by_type,0,0.48732757568359375
surgeries_by_type,1,0.3299713134765625
surgeries_by_type,2,0.3838539123535156
surgeries_by_type,3,0.469207763671875
surgeries_by_type,4,0.4181861877441406
surgeries_by_type,5,0.3509521484375
surgeries_by_type,6,0.39196014404296875
surgeries_by_type,7,0.3552436828613281
surgeries_by_type,8,0.36787986755371094
surgeries_by_type,9,0.3330707550048828
surgeries_by_type,10,0.33593177795410156
surgeries_by_type,11,0.3848075866699219
surgeries_by_type,12,0.3077983856201172
surgeries_by_type,13,0.43392181396484375
surgeries_by_type,14,0.3368854522705078
surgeries_by_type,15,0.3421306610107422
surgeries_by_type,16,0.2968311309814453
surgeries_by_type,17,0.3387928009033203
surgeries_by_type,18,0.35309791564941406
surgeries_by_type,19,0.36978721618652344
surgeries_by_type,20,0.4832744598388672
surgeries_by_type,21,0.4439353942871094
surgeries_by_type,22,0.3559589385986328
surgeries_by_type,23,0.3521442413330078
surgeries_by_type,24,0.31685829162597656
surgeries_by_type,25,0.3898143768310547
surgeries_by_type,26,0.37479400634765625
surgeries_by_type,27,0.35500526428222656
surgeries_by_type,28,0.40984153747558594
surgeries_by_type,29,0.3840923309326172
surgeries_by_type,30,0.3490447998046875
surgeries_by_type,31,0.34499168395996094
surgeries_by_type,32,0.3597736358642578
surgeries_by_type,33,0.3256797790527344
surgeries_by_type,34,0.39505958557128906
surgeries_by_type,35,0.4992485046386719
surgeries_by_type,36,0.3418922424316406
surgeries_by_type,37,0.37217140197753906
surgeries_by_type,38,0.32401084899902344
surgeries_by_type,39,0.347137451171875
surgeries_by_type,40,0.3898143768310547
surgeries_by_type,41,0.3898143768310547
surgeries_by_type,42,0.40984153747558594
surgeries_by_type,43,0.3409385681152344
surgeries_by_type,44,0.30493736267089844
surgeries_by_type,45,0.36215782165527344
surgeries_by_type,46,0.34618377685546875
surgeries_by_type,47,0.4401206970214844
surgeries_by_type,48,0.34308433532714844
surgeries_by_type,49,0.3151893615722656
surgeries_by_type,50,0.34689903259277344
surgeries_by_type,51,0.3719329833984375
surgeries_by_type,52,0.34689903259277344
surgeries_by_type,53,0.36025047302246094
surgeries_by_type,54,0.3211498260498047
surgeries_by_type,55,0.43392181396484375
surgeries_by_type,56,0.40984153747558594
surgeries_by_type,57,0.4029273986816406
surgeries_by_type,58,0.3802776336669922
surgeries_by_type,59,0.3788471221923828
surgeries_by_type,60,0.39005279541015625
surgeries_by_type,61,0.3676414489746094
surgeries_by_type,62,0.3578662872314453
surgeries_by_type,63,0.3829002380371094
surgeries_by_type,64,0.37789344787597656
surgeries_by_type,65,0.3299713134765625
surgeries_by_type,66,0.3788471221923828
surgeries_by_type,67,0.4131793975830078
surgeries_by_type,68,0.3268718719482422
surgeries_by_type,69,0.3719329833984375
surgeries_by_type,70,0.3719329833984375
surgeries_by_type,71,0.4050731658935547
surgeries_by_type,72,0.4248619079589844
surgeries_by_type,73,0.43201446533203125
surgeries_by_type,74,0.45108795166015625
surgeries_by_type,75,0.3819465637207031
surgeries_by_type,76,0.3650188446044922
surgeries_by_type,77,0.4227161407470703
surgeries_by_type,78,0.431060791015625
surgeries_by_type,79,0.3619194030761719
surgeries_by_type,80,0.3151893615722656
surgeries_by_type,81,0.3688335418701172
surgeries_by_type,82,0.4608631134033203
surgeries_by_type,83,0.45990943908691406
surgeries_by_type,84,0.32401084899902344
surgeries_by_type,85,0.3368854522705078
surgeries_by_type,86,0.370025634765625
surgeries_by_type,87,0.35309791564941406
surgeries_by_type,88,0.3859996795654297
surgeries_by_type,89,0.3571510314941406
surgeries_by_type,90,0.3058910369873047
